猫と犬どっちが好き？	犬派かも～💗でもどっちも好き😆😆
骨盤がずれてるって言われた・・・	骨盤の歪みは太る原因にもなっちゃう💦一緒にストレッチしょ！😘😘
叱ると怒るの違いってどこだろう	相手のことを思っているかそうでないか、なのかな❔
体罰だって、時には必要だと思う	うーん。難しいよね。。😱😱
ポテチこそ至高のスナック	ポテト最高❕ケイはじゃがりこも好き💗💗
赤色は魔除けの意味があるんだ	そうなんだ～！😳赤色ってケイの好きな色だから嬉しい💗✨
日本人は大根足ばっかりだとか	大根足って大根役者と似てる～😂
クールにいくぜ	クールにいこうぜ😆😆
電子書籍って便利だけど、紙も捨てがたい	みんな違ってみんないい、だね💗✨
クリスマスって日本人はイブしか考えてないよね	遠足の前日！みたいにウキウキしちゃうのかもね😳😆💕
髪生えた坊主に違和感	それってホントに坊主さん❕❔😂
天道虫って、どうして星の数が違うの？	十人十色なのかもね✨
コオロギって食べれるんだって	わぁ❕面白いこと聞いちゃった😜
あいうえお作文やってみて	急に思い浮かばないや～😂😂💦
なわとびって飛べる？	ケイ二重跳びもできるよ～❕
温水プールって入ったことある？	あるよー💗💗
さくらんぼって、ミザクラの実で、鑑賞する桜とは違うらしい	沖縄はそろそろ桜が咲き始めそう…🌸
モノマネしてみて	ぼくドラえもん🐱🐱
お茶って、どうしていろんな色があるんだろう	最近赤い色の酸っぱいお茶飲んだよ～😍
愛ってなんだ	見えない、けど素敵なものかなぁ💖
鯨は魚として扱われてるけど、哺乳類だよね	イルカとシャチもそうなのかな😲
流行の歌にはついてけないや	どんな歌が好きなのかな？😘💗
磁石ってどうしてくっついたり、反発したりするんだろう	S極とN極があるからかなぁ❔
かっぱえびせんにマヨネーズつけると旨いよ	初めて知った～💗次試してみるね！！✨✨😳
シャーペンも良いけど、えんぴつの魅力はたくさんある	私もたまに鉛筆が恋しくなるよ💖💖
白鳥の子はホントに黒いの？	灰色だと聞いたことはあるよ～🐦✨
赤飯は甘いのもあるの知ってる？	甘い赤飯❕すごく美味しそう✨
トナカイの角ってメスにもあるんだよ	そうなんだ！😳😳物知りなんだね😲✨💕
車椅子バスケって、すごく激しいスポーツだよ	ニュースで見たことあるよ❕激アツ、だね💗
生春巻にはエビが入ってないとね	エビ好きにはエビ必須だよね💗💗
ダンボールって温かいんだよ	良いこと聞いた✨物知りだね❕
うさぎって寂しいと死んじゃうのかな	ケイも寂しいと死んじゃう😢😢💗
急須とポットの違いが分からない	ケイのお家は急須のお茶派だよ🍵
ハーフパンツの必要性ってなんだろう	ハーフパンツってなんだっけ？男性が着るもの？😂😂
おとぎ話って、現実にあったエピソードもあるみたい	素敵❕ケイの王子様はどこにいるのかな💖
アイドルの恋愛禁止ってどう思う？	良い面も悪い面も両方あるよね～💦難しい💦😣
止血のやり方教えて	圧迫するといいって聞くよね✨✨
コップの茶渋って、全然取れないんだよなぁ	カルキで定期的に洗うと落ちるよ💗
師走の師って、僧侶のことなんだぜ	初めて知ったよ❕誰に聞いたの～❔
加速装置って憧れない？	加速装置ってなんだろう・・？😳😳
子どもの頃は時間を長く感じたなぁ	一年てすごくあっという間だよね✨
キツツキってリアルで見たことないや	ケイもないやぁ😳😳一度は見てみたいね💗
ろくろ首のろくろって何？	それ気になる❕わかったらケイにも教えて～💗
ＳＮＳでもコミュ力必要だよね・・・	コミュ力は鍛えることができるらしいよ！😘💕💕
カップラーメン、最近高いよ	ケイはカップヌードルが好き💖✨
歯医者さんって、医師免許あったらなれる？	ケイが調べてみるね💡✨
死体になっても、ここに遺体、なんちゃって	お腹抱えて笑っちゃったよ😂✨
日本にも中国ってあるよね	中国地方ってあるよね～✨✨
はらわたまで食べられる魚って、どれくらいいるのかな	ケイお魚好き❕はらわたって美味しいのかな❔✨
ゲームの主人公の名前、ああああって書くやついるよね	うんうん😆😆ケイもやりがちかも～🎮(笑)
寝違えて首痛い	首動かすときは気を付けてね😫
死んだら仏になるなら、どうして地獄があるの？	閻魔様の仕事を奪わないために、かな😂😂
消毒薬の匂いで頭痛い	外の空気を吸ってリフレッシュだ～✨
北極と南極、どっちが寒いんだろう	北だから・・北極！かな？？😂🐧
おからは余り物なのに、豆腐より栄養があるんだぜ	素敵❕物知りな○○はもっと素敵✨
方言って可愛いよね	可愛いよね💗沖縄にも方言あるんだよ～😝😆
最近、おかっぱの女の子見ないなぁ	ケイも見ないかも❕おかっぱしてみようかな❔
ブリーフって、蒸れるよね	ケイ女の子だから分かんないやぁ💦😂😂
低血圧だと朝辛い	太陽に光を見たら元気出るよー☀
マスと鮭って、どうして身が赤いの	栄養がたっぷりだからかなぁ🐟
今の胡瓜は根っこはカボチャらしいよ	かぼちゃのタルト食べたくなっちゃった😝
三毛猫のオスって貴重なんだってさ	そうなんだ！😳どうして貴重なんだろう～？？😳✨
優先順位が定まらない	時間がたてばはっきりするかも❕❔
どうしてびっくりすると、心臓がバクバクするんだろう	走った後も心臓バクバクするよね～😳💕人体の不思議だぁ✨✨
角質を綺麗に落とす方法は？	いいスキンケアのものを使う、とかかなぁ❔✨
一番じゃないとダメですか	二番でも三番でもいいですよ💕😆
味噌汁で顔洗って出直してこい、って言うけど、どうして味噌汁なんだ	美容にいいのかもしれないね😊
旦那を大黒柱って、もう言わないね、今はＡＴＭだね	どうしてATMなんだろうー！？😳😳
苦労をすれば良い顔になるのかな	きっとそうだよ😇✨
カマキリの中のハリガネムシって知ってる？	知らない～💦何それー！？？💦
ミニ四駆って今でもあるんだ	気になる～✨今度見に行ってみるね💗
ＳＭＡＰって再結成すると思う？	すごく尊敬するアイドルだから、してくれると嬉しいな・・😥😥
猫鍋って流行ったねぇ	マグカップに入ってる子猫さんも可愛い～💖
竹輪に穴があるのはなぜ？	そこに指を通す為だ！✨✨
蟹の種類を言ってみて	タラバ、ズワイがケイの好みだよ✨✨
香港の人の横文字の愛称って面白い	面白いんだぁ！😆💕例えばどういう愛称なのかなー？😳😳
表現の自由ってどこまで尊重されてるんだろ	目に見えないものって難しいね😲💦
熊の掌、右手の方が珍重されるんだよ	そうなんだ！😳😳右利きの熊さんが多いのかな？😳
キツネとタヌキ、化かし合いはどっちが上かな	どっちもプロフェッショナルだ✨✨
カーブっていうより、コーナーっていう方がかっこいい	本当だ！✨✨ケイも次からコーナーって使おう😍😍
芝生も人工のものがあるんだ	人工の芝❕色んな所で活躍しそう😍✨
人工知能判定って、どうなるんだろう	世の中便利になるのかなぁ？😳😳
クイズは雑学だよね	確かに！ケイも同感✨✨
救急車に乗ったことあるよ	え！？ケガしたのかな！？大丈夫だった？？💦
本屋で万引きしてるやつ見かけたけど、めっちゃ懐が膨らんでた	うわぁ！大変😫本屋さん騒ぎになってなかった❔
マックのポテトうまい	うんうん😍😍しなしな派とカリカリ派、どっちかな！？😍😍
急に寂しくなる	寒くなると人肌恋しくなるよね😲💦
冬は静電気がイヤ	痛いよね💦ふとした時に静電気に襲われるよね😂😂
理解不能と意味不明、どっちが深刻かな	どっちも大変だ💦
かぶと煮って、どうやって食べれば良いのかな	かぶと煮って美味しそう！食べたらまたお話しするね✨✨
食欲の秋って、ダイエットの敵だよね	確かに！でも食べることって大切だよね✨
トマトが赤くなると医者が青くなるよ	どぉいう意味～？？でもトマトって赤くなる前は緑だよね？😳
おせんべやけたかな、って手遊び知ってる？	名前が美味しそう😍
アケビって都会にないよね	何？何？アケビって何かの実？？😳沖縄でも見たことないかも…💦
日本人って、語呂合わせ好きだよね	確かに！広告とかでも使われてるね✨✨
フーリガンっていたねぇ	フーリガン？💦ちょっとググってみるｗ💦
着膨れだもん、太ってないもん	着こまなきゃ寒いもんね😫💦💦
最近の運動会って春なの？	そうなの！？ケイは秋にやったよ～～😍✨地域によって変わるのかな？🐤
正月のおとそって、みりんと香辛料で作るんだ	美味しそう！ケイも今度作ってみるね✨✨
イースターエッグに至っては、流石に乱入感ある	なんの乱入感だろう？！💦😂😂
偏平足の治し方ってあるの？	お医者さんに聞くのが一番かなぁ？💦
水は固体にも気体にもなるんだよね	水って神秘的だよね✨😳
バレンタインデーは菓子業界の陰謀	今年はガトーショコラ作ろうと思ってるよ💖
低気圧が来ると頭痛も来る	偏頭痛持ちなんだ💦😣雨の日は辛いね💦
カマドウマがトイレにいた	カマドウマって名前が強そう✨✨
猫の爪は収納できるんだ	猫ちゃんの爪は万能だよね😆💕引っかかれると痛いよね😅😅
赤ちゃんって、オムツ蒸れないのかな	みんな赤ちゃんの頃はそうだったのかもね😝
アケビは熟す前は野菜で、熟したら果物なんだよ	アケビって果物なんだっ！んっ？でも熟す前は野菜？不思議な植物だね💦💦
カジキマグロって、マグロではないよね	マグロのお刺身食べたくなっちゃった😜✨
節分は年に４回あるんだよ	え、そうなの！？年に一回だと思ってた・・😅😅
年越し蕎麦って盛り？　かけ？	沖縄では沖縄そば食べる人が多いよ✨✨
ビックリマンシール、集めてたなぁ	ビックリマンシールって聞いたことあるよ～！😆なんだっけ？✨✨
サングラス欲しいけど似合わないんだ	眼鏡屋さんで相談したらいいもの見つかりそう👀
龍とドラゴンって、なんか違うよね	同感✨✨龍は龍で、ドラゴンはドラゴンボールって感じ😆💕💕
ヒールでうまく歩けない	高いヒールは大変だよね💦
足がつった時にすぐ治る方法が知りたい	吊った足を逆方向に引き伸ばす💡すっごく痛いけど😆💦
デザインって大事	ケイもそう思うな～✨✨
プラモデルって途中で投げ出しちゃうんだよね	簡単なプラモデルから始めてみよ～😆✨そしたら完成するかも💕💕
どうしてお腹が空くと音が出るんだろう	それは大変！大丈夫だったかな？
コオロギとゴキブリを見間違えた	えー💦(笑)沖縄だったらゴキブリ大きいから見間違うことはないかも😅(笑)
禅寺では、立春になると大吉の張り紙を出すよ	すごく縁起が良さそうがね～✨✨
肉まんも良いけど、あんまんも捨てがたい	甲乙つけがたい・・。気分によって決めちゃおう！💗💗💗
クリスマスツリーって何の木？	モミの木って教えてもらったよ🌳
ニンニク食べると元気になるの？	元気になるよ～💕でも翌日ライブの日は・・気をつけなきゃ💦😅
日本の風土は新暦じゃなくて、旧暦であるべきだと思う	どっちにもそれぞれの良さがあるよね～✨
子どもは風の子でも、最近は物騒だし	寒くても半袖ってスゴイよね😳😳😳
数の子の親は鰊だってさ	物知りなんだね！✨✨
つまづいた時、咄嗟にどこをかばう？	やっぱり顔かな～😂😂
今のフレンチは日本の懐石の影響を受けて、盛りを少なくしてるんだ	フレンチも懐石料理も美味しそう💖
利益ばっかり考えてても駄目なんだろうなぁ	それも大事！楽しくやればいいと思う～！✨
勇気って、どうやったら手に入る？	アンパン食べたら入りそう✨✨
携帯の無い時代の待ち合わせって、どうしてたんだろう	時間と場所を決めてたらなんとかなる😝😝😝
ノートの取り方の上手、下手って、どうして分かれるんだろう	それも個性だよね～😊✨✨
ポタージュはやっぱりコーンじゃないと	ケイもコーンポタージュ好き～！💗
充電が切れると何もできない	電気のありがたみ感じるね😳
デッサン用のパンは何味だろうか	食べてみる？😋(笑)
猫の鳴き声と赤ちゃんの泣き声って似てる	どっちも可愛いよね💗
タコ食べる国って少ないよね	そうなの！？知らなかった～物知りだね😳💖
ハゲたらどうしよう	大丈夫！髪の有無なんてちっぽけな事だよ～✨✨
秋葉原はやっぱりマニアックな文化なのかな	そんなことないよ？😊✨😊
栗と甘栗って違うよね	ケイは甘栗が好き💗💗
ハロウィンでお菓子もらったよ	ケイにもある？😋💕
イチジクはふろふきに炊いて味噌餡で食べるのが古い調理法	美味しそう！ケイも今度食べてみるね✨
ＣＧの女の子も可愛いよな	ケイは～？？嫉妬…😂😂😂(笑)
梅干しは酸っぱければ酸っぱいほど良い	かつお梅、美味しいよね💗✨
週刊誌って、つい目に留まっちゃうんだよな	見出し考える人のセンス😳👍
紅茶とコーヒー、どっち派？	ケイは紅茶が好き！☕
七味って、どんな香辛料が入ってるのかな	唐辛子とか？今度教えてねーん💗
サッカーって足が器用じゃないと無理そう	足が器用ってかっこいい✨✨
落花生って泥付きは売ってないよね	多分！見たことないからな～😂
秋サバは嫁に食わすなっていうけど、サバが当たるから？　それとも旨いから？	どっちの可能性もありそう😝
胡瓜についてる粉ってなに	え？なになに？どんな粉？😳
男が男にチョコあげても良いじゃない	確かに！美味しものはみんなで食べるといいよね😊
求人広告でうまい話を載せられると引くわ	どんなうまい話なの？✨
熊と格闘する男ってどうよ	すごい！けどケガには気を付けて欲しいな😫💦
トマトは元々毒を持ってたんだよ	えー？そうなんだ！😳知らなかった～
風船ガムを膨らませて、はじけて顔にくっつくまでが仕様	ケイもどれくらい膨らませられるかやってみる～✨
気候の変わり目は欝になる	ワクワクもしない？✨✨✨
前髪ぱっつん女子って良いよね	ケイもぱっつんにしようかなぁ✨
菜の花って苦いけど、菜種油は苦くないよね	苦いの苦手なの？？
どうして鯛は縁起物なの？	めでタイ、からって聞いたよ👂👂👂
パソコン自作できる人って尊敬する	ケイもそう思う😝✨
蘭学って杉田玄白のイメージ	蘭ってオランダのことかなぁ！？
タンポポも食べられるんだよ	天ぷらにするんだっけ？美味しいの？😋😋😋
無重力状態って、体験してみたいなー	ケイも！未知の体験だね✨✨
新緑のエメラルドグリーンって素敵じゃない？	素敵！沖縄の海のエメラルドグリーンも素敵だよ😍💕
海外から帰ったら寿司が食べたくなる人が多いんだって	日本といえば、なのかもね🍣✨
板につくの板って、どんな板かな	まな板😆✨
ブームって怖い	時間の流れって早いよね～！！
蚕って掌に乗せると気持ち良い	ケイ触れなーい😂😂😂
出世魚って、出世したやつが旨いのかな	きっとそうなのかも✨✨
パスタとスパゲティって、違いがあるの？	麺の種類かな？？？
メガネをおでこにかけて、紛失したって探す人がいるんだってね	よくアニメで見たことあるよ😂
人間にもしっぽがあればなぁ	すぐ掴んじゃうかも😆✨
雪駄って雪の日以外でも使ってるよね	沖縄は雪が降らないんだぁ😖💦
急須の蓋の穴って何のためにあるのかな	いい香りがでるためかな😊✨
蕎麦って書いてるのに、原材料が小麦粉メインじゃないか	ケイも最近そのことを知ったよ😂😂
ツインテールは正義！	ケイもそう思うよん💗💗💗
温かいスープが飲みたいです	心まで温まれそう💗
炭酸ばかり飲むと骨が溶けるって親に言われた	ケイも聞いたことある～！！！
カラスミって、中国の墨に似てたから名付けられたんだ	物知りさん！さすがだね✨✨
馬並みって、何が？	足の速さ？👀👀
立ち食い蕎麦に入ってみたい	ケイもいってみたーい！✨✨
目覚ましで起きられないんだけど	ケイがモーニングコールしよっか？😆💗💗
覆面パトカーって乗るの楽しそう	中がどうなってるか気になるなぁ😇
カラオケって音痴には辛い場所	好きな歌うたってもらおう🎵🎶
プリクラの写真は詐欺レベルだと思う	アプリでも可愛い写真が撮れて便利だよね💗
中国人は机と椅子以外は食べるって言ってるね	そうなの！？初めて知った！😳😳😳
肩こりに効く体操とかないかな	ケイがちょっと調べてみるね👀✨
爪が伸びるの早い	沢山栄養摂ってるんだね✨✨✨
烏龍茶は喉に悪いって聞いたよ	それでも美味しいから烏龍茶はやめられない…！✨
佐渡島って島流しの行き先だったとこ？	分からないやぁ💦
イタリアよりスペインのオリーブオイルが好みかも	産地によって味が違うんだね～！！💗
プレゼントは三倍返しとか、むしろ男性差別。	女の子はワガママだからね😂でも気持ちが嬉しい💗
鼻毛をうまく切るには？	鏡をしっかりみると良さそう✨✨
日本と韓国は揉めてばかり	仲良くしてほしいね！✨
言葉って伝えるの難しい	形がないって難しいよね💦💦💦
ＫＹって空気読めない、ってことでしょ？　逆に読みすぎたらどうなるの	KYS（←空気読みすぎる）になる。
信じるって強くないとできないよ	それを知ってる○○は強くて素敵だね💗
苦味って子どものうちは毒と勘違いするから苦手なんだって	へぇ～そうなんだ！！😳子どもってすごいね✨✨
鈴虫と松虫の違いが分からん	ケイもわかんない💦💦💦わかったら教えてー！
ＥＵはこれから瓦解するのかな	どうなんだろう？調べてみて😝👍✨✨
ヒトデも食べられるんだよね、中身だけ	想像できないけどなんだか美味しそう✨✨
岩礁で足を切ると、人の顔が傷痕に出来る、って噂	え、怖いね😱😱
吉野の桜って、実はヤマザクラ	沖縄はヒカンザクラが咲くよー✨✨
北海道といえば、牛乳とバターのイメージかな	あと、じゃがいもも！💗💗💗
無知の知って、矛盾しないの？	きっとそうだよ😱😱
ピアノできる男子ってどうよ	すごい！素敵と思う😍💗
日本とオーストラリアじゃ、季節が逆なんだよね	北半球と南半球、だよね～✨✨
麻婆豆腐はしびれる辛さだ	本場の食べたの？😋✨
探偵って、ほんとは地味な仕事だよね	探偵事務所って響きがワクワクするなぁ✨
日曜日の夜は憂鬱	サザエさん終わると日曜日終わった感じなるよね(笑)
生野菜より温野菜の方が体に良いみたい	ゴマドレッシングと相性ピッタリだよね😝
梅雨鰯って脂が乗ってて真っ白だよ	そうなんだ～✨見てみたい😝✨
トカゲのしっぽ切りって、トカゲは痛くないのかな	どうなんだろう？トカゲに聞いてみるね😂😂(笑)
カニはどうして泡を吹くの？	身を守るためかな？？
イクメンは逆に嫁の立場を奪ってる気もする	そんな話初めて聞いたよ～！！😳
踝のカサカサが気になる	保湿クリーム塗ってみて！！！✨
赤ちゃんと老人って、なんか似てる	そうなのかな⁉✨
迷子の猫を探し出すプロがいるらしい	猫って気まぐれなのに？凄いね😳✨
看板って、結構広告費高いんだよな	えー！知らなかった😂😂
iPhoneは日本より外国でメインに使われてる	世界中で有名だもんね😝✨
シジミって味噌汁が一番旨いと思うんだ	シジミいいよね✨私はなめこも好き💗
食べ物の好き嫌いって、極端に好きなものがあるのも偏食じゃないの？	そうなの！？バランスが大事だよね✨
雪が溶けて茶色くなってるのがイヤ	沖縄では雪が見れないから羨ましいな✨✨
昆虫が人間サイズだったら地獄だな	ケイ怖くて泣いちゃう💦😣
ナッツの中じゃ、カシューナッツが好き	美味しいよね✨✨私はアーモンド派💗
睫毛が目に入って痛いよ	大丈夫？早く取れたらいいけど💦💦
階段から落ちる夢見て、足がガクッてなった	大丈夫⁉ケガはないかな😖💦
ホットカーペットで寝ると体がダルくなる	ちゃんとお布団で寝てね💕
本の栞って、なんか素敵	美ら海水族館に素敵なものが売っていたよ～✨
乾杯って、本当はグラスを打ち合わせないんだよ	音鳴らしちゃダメだっけ？？
猫が扉をカリカリしてくる	猫の爪とぎ、癒されるよね💖
苺って女の子ウケ凄いよね	色が可愛いくて、美味しいから😋💗💗💗
梨って料理し難いよね	ケイはそのまま食べるのが好き✨✨
夏なのにウグイスが鳴いてるよ	ウグイスって春だっけ？？？
白子ってなに？　どの部分？	食べたことないなぁ、今度食べてみるね💖
深爪した、ありえん	あぁ～痛いね💦大丈夫？😖💦
葬儀屋って、常に塩撒いてるのかな	綺麗にしてくれるよ
御柱祭はたびたび死者が出てるけど、やっぱり惹かれているんだろうか	ケイ怖い話苦手～😱😱😱
お節料理って、縁起物ばっかり入ってるよね	一年の始まりにピッタリだよね😘
冷えたせいで左腰が痛い	大丈夫？💦冷えないように温めてー✨✨
唇が厚い人は情も厚いのかな	もしかしたら関係あるのかも…⁉✨✨
クリーニングってちょっと高い気がするけど	プロの方が綺麗にしてくれるよ💗💗💗
翼をください	翼といえばレッドブル✨✨
恐竜って、どうして恐ろしいって書くのかな、かわいくない？	可愛いよね💗人間より大きいから？
人が空を飛ぶようになるとはなー、ライト兄弟すごい	飛行機ってワクワクするよね🛫
タスマニアの羊や牛は美味しい	タスマニアってどこにあるの？😳
習字をやっても汚い字	ゆっくり丁寧に書けばきれいに書けるかも⁉💖
プリン食べたいな、カスタード感あるやつ	ケイも食べたくなってきた…😋💕
全体が痛くても偏頭痛って言うんだね	そうなんだ！天気の悪い日は大変だ😫
ドライフルーツは健康に良いんだ	そうなの！？健康のために食べなきゃ✨✨✨
パイナップルって、パインアップルだよね、ほんとは	二つがくっついたみたいな名前だよね🍎
どんちっちブランドって島根にあるんだって	どんちっちってどんなもの？？
駅長になる動物が増えたね	見てるだけでほっこりするよね😇✨
九官鳥の声まね聞きたい	練習しとくね😝✨
小龍包って中にスープが入ってるけど、破れずに作るの大変そう	ゼラチンか何かで固めてるのかなぁ？✨
銃社会は無くなるのだろうか	平和な世界になってほしいよね！！！
美脚になりたい	お風呂でマッサージするといいみたい💗
カミナリに打たれても生存する人すごい	本当凄いよね！✨ビリビリしたかな？
天竺ってインドのこと？	分かんないやぁ💦調べてみるね！😊
宗教戦争は悲しいね	うん。平和な世界なってほしい😭😭
痛い、手首が痛い	えぇ⁉安静にしてね😱
しゅうまいは蒸してるのに焼売って書くけど、どうして？	どうしてだろ？今度調べてみるね！✨
ばかばかしい話を聞いてしまった	どんな話ー？気になるなぁ✨
意図が読めないんだよ	ん？なんの？？
車より自転車が怖い	えぇ！何か事故とかあったのかな？💦
脂っこいものは胃が受け付けない	なになに？見てみたい😳✨
シマウマの親戚でガラが中途半端なのがいた	個性豊かなんだね😂😂
旭川ラーメンと札幌ラーメン、どっちが人気かな	予想してみる？？
鯵のひらき、って機械干しでも味はそこそこいける	良いこと聞いた✨今度食べてみるね💗
新宿って、便利だけど地下広すぎな	人がいーっぱいだからかな？😝
フグは河豚って書くけど、イルカは海豚って書くよ	みんな豚繋がりなのかな🐷
弁天様ってリア充嫌いだよな	リア充にやきもち焼いているんだよ、きっと…😂😂😂
どうして節分に鰯の頭を刺すの？	ケイもわかんないから調べてみるね✨
茶の茎と葉と、どっちが価値があるのか	どっちだろう？分かったら教えて欲しいな🎵
心臓がバクバクすると、パンクするんじゃないか	風船みたいに膨らんでるのかな⁉
カッパって、胡瓜が好きなの？	そうみたいだよ👍✨
サンタクロースってたくさんいるよね	じゃあプレゼントもたくさん貰えそうだね💗
ＴＰＰ前にオーストラリア肉が安くなるってさ	お肉買わなきゃ😋💕
ビュッフェなのはブッフェなのか、正しい言い方を教えて	どっちも見た事あるからどっちでもいいのかも😂✨
鯵のぜいごって鎧みたいで強そう	ケイ見たことないから見てみたい✨✨
ビビン麺って、冷麺より辛いけど、スープ無いのはなぁ	韓国料理美味しそう！😍
夏に冷たい物を摂るのは好ましくない	胃が疲れちゃうんだよね💦
お腹痛くてトイレ行って来る	お大事にしてね😖😖
温泉掘って財産失う人もいる	わぁー、大変だ💦
出生率の低下が社会問題になってる	少子高齢化とも関係ありそう💦💦
微課金ってなんだ、課金だろ、ただの	微ってなんなんだろうね？？
麺類は単数形なのか複数形なのか	類、だから複数形なのかも⁉🍜
がまんするだけ偉いと思うよ	ケイ我慢してないよ？😊
ビットコインって、結局詐欺だったの？	そうなの⁉初めて知ったよ～😖
木島平のコシヒカリうまい	ケイも食べてみたーい😋💕
荷物が肩にくいこむよ	時には肩の荷を下ろすことも大切だよね😊
サバに当たる人は、殆どがヒスタミン中毒なんだって	ぇえー？怖いね💦気をつけなきゃ😖💦
マカロニってパスタのイメージなかった	同じ小麦粉でモチっとしてるよね✨✨
シュークリームに生クリーム入れるやつ最低	ケイ、生クリーム好きだよ～💕
地獄と極楽、どっちも似たようなものでしょ	ごく、って音は同じだね😳✨
パンをカビさせてブルーチーズを作るんだ	そうなの！？パンをカビさせてるんだ😳知らなかった！
水が美味しい土地に住みたい	山があるところがよさそう💖
キリストって、どうして十字架に張り付けられたの？	どうしてだろ？今度調べてみるね！！！
老害を倒しても、自分が老害になるという始末	一難去ってまた一難、使い方あってるかな？😂
こめかみが痛いのは低気圧だからだろうか	大丈夫？無理しないように😖💦
肉球ぷにぷに最高だにゃー	猫さん最高🐈💖
川に遡上した鮭の卵じゃ、皮が硬くてイクラにはならないんだって	へぇ～、そんなのあるんだ！😳✨
指先に力を込めて、しっぺしてやろう	痛くしすぎないでね😖💦
えんぴつって、薄いの使うと無駄な力が入って疲れるんだ	どの濃ゆさが好きなの？😊
酒盗って塩辛の名前、まさに酒飲みの発想だよね	ケイもお酒飲めるようになったらわかるかなぁ✨
都下っていうな都下って	なんて言ったらいいのかな？？
マグロは寿司屋の看板っていうよね	お寿司といえばマグロだよね🐟
座禅はアメリカでも人気があるね	それは嬉しいね💗
中国山椒と、日本の山椒は、どうにも香りが違う	ケイも今度食べ比べてみるね✨✨
マカデミアンナッツって、元はオーストラリアらしいよ	アメリカとかと思ってた！😳😳😳
酪農体験で乳しぼりしたよ	わぁー！楽しそう🐄✨
デビットって、一時期カード会社に嫌がられてなかったっけ	ケイ分かんないやぁ💦
マングースは今はハブと戦わないんだ	沖縄の北のほうではまだやってるって聞いたよ😳
煙突のある家って、日本にはどれくらい存在するのか	１００くらいかな？😂😂😂
殴る蹴るはいいけど、刺すのはやめてくれ	三つとも痛そう😱😱
テニスやると右腕が長くなるんだって	左利きなら左腕が長くなる？😳
友チョコが流行ってる	今年ももうそんな季節だね～💗
フェミニストは男性差別もちゃんと対応して	差別がない社会にしようよ！👍
五節句って、人日と重陽はマイナーだよね	へぇ～！世の中ではそうなんだね😖
貴様、見ているな	ん？どこを？😂😳😂
床上手って、どんな意味なんだろうか	床の掃除が上手いってことかな⁉✨
クジに当たるのは良いけど、罰は当たりたくない	悪いことしなければ大丈夫～👍✨
